Kreisnummer;Kreisname;Siedlungsfläche
12069000;Potsdam-Mittelmark;9,34
12070000;Prignitz;7,42
12071000;Spree-Neiße;10,32
12072000;Teltow-Fläming;10,09
12073000;Uckermark;6,61
13003000;Rostock;40,81
13004000;Schwerin;32,03
13071000;Mecklenburgische Seenplatte;6,81
13072000;Landkreis Rostock;8,92
13073000;Vorpommern-Rügen;8,72
13074000;Nordwestmecklenburg;9,05
13075000;Vorpommern-Greifswald;8,02
13076000;Ludwigslust-Parchim;7,64
14511000;Chemnitz, Stadt;45,33
14521000;Erzgebirgskreis;12,55
14522000;Mittelsachsen;11,47
14523000;Vogtlandkreis;11,59
14524000;Zwickau;19,08
14612000;Dresden, Stadt;44,01
14625000;Bautzen;10,87
14626000;Görlitz;12,73
14627000;Meißen;12,32
14628000;Sächsische Schweiz-Osterzgebirge;9,72
14713000;Leipzig, Stadt;55,29
14729000;Leipzig;13,87
14730000;Nordsachsen;11,46
15001000;Dessau-Roßlau, Stadt;20,46
15002000;Halle (Saale), Stadt;52,92
15003000;Magdeburg, Landeshauptstadt;47,37
15081000;Altmarkkreis Salzwedel;7,15
15082000;Anhalt-Bitterfeld;12,4
15083000;Börde;9,87
15084000;Burgenlandkreis;13,27
15085000;Harz;9,94
15086000;Jerichower Land;8,79
15087000;Mansfeld-Südharz;11,68
15088000;Saalekreis;15,1
15089000;Salzlandkreis;13,63
15090000;Stendal;7,72
15091000;Wittenberg;8,96
16051000;Erfurt, Stadt;31,65
16052000;Gera, Stadt;29,02
16053000;Jena, Stadt;31,46
16054000;Suhl, Stadt;19,27
16055000;Weimar, Stadt;34,04
16061000;Eichsfeld;10,77
16062000;Nordhausen;12
16063000;Wartburgkreis;11,7
16064000;Unstrut-Hainich-Kreis;10,05
16065000;Kyffhäuserkreis;9,54
16066000;Schmalkalden-Meiningen;10,49
16067000;Gotha;12,75
16068000;Sömmerda;9,78
16069000;Hildburghausen;8,99
16070000;Ilm-Kreis;12,43
16071000;Weimarer Land;11,99
16072000;Sonneberg;10,67
16073000;Saalfeld-Rudolstadt;10,29
16074000;Saale-Holzland-Kreis;10,9
16075000;Saale-Orla-Kreis;8,92
16076000;Greiz;12,8
16077000;Altenburger Land;14,4
